neu	OÜ Izi Credit sai Finantsinspektsioonilt krediidiandja ja hüpoteekkrediidiandja tegevusloa http://bit.ly/2uIzZsO
neu	Haanja vallavanem Juri Gotmans osaleb Euroopa Regioonide Komitee töös 
pos	Head uudised on alati jagamist väärt! :) 
neu	Samsungi kurikuulus nutitelefon Galaxy Note 7 jõuab taas müügile
pos	3-9. juuli: uusi videomänge: rahulik nädal, aga midagi toredat siiski leidub
neu	Kontaveit kohtub paarismängu avaringis eelmise aasta Prantsuse lahtiste veerandfinalistiga
neu	Elektrilevi avastas mullu 1301 elektrivargust
neu	Uus lõhkematerjaliseadus alandab võimsa ilutulestiku ostmise vanusepiiri
neu	Ökonomist: Eesti võib viieprotsendilisest majanduskasvust vaid unistada
neu	NASCAR-i meestel (ja naistel) tekib seda sõidukõlbmatut kola ikka pidevalt juurde.
neu	Huvitav, et laulupidu pole @ERR_Uudised TOP1 uudis.
neu	Vaata, kus Soomes rahvaarv väheneb, kus kasvab
pos	Värske uudised ja põnevad videolood otse Sinu telefonist! 
neg	Halvad uudised Poolast. 
neg	Pole maja, pole probleemi.
neg	Sitta kah, elame üle. 
neg	hahaha istun bussis tripin tallinna ja mingi vend lôugab yle bussi "sitta kah tômbame selle peo kàima" ja pani puhtalt laudurit
pos	Mul pole õnneks terves maailmas täisnimekaimu. 
neg	Perekonnanimigi on üle ilma vaid viiel elus inimesel :-) 
neg	algul oled nagu "ah järgmine nädal teeb tolle eksami ära" siis nagu "ah sitta kah jätame jaanuarisse"
neg	See on see nkn ei juhtu aga sitta kah "rt"
pos	Teate kui tore on pesulaud olla:kannad, mida tahad ja nagunii midagi näha pole, sest pole midagi vaadata 
neg	Päris tore olla, kui inimene ise enda lollusest minu näo täis sõimab
neg	Suvel on ikka nii tore haige olla.
neg	4real ei jaksa olla rõõmus üle päeva.. 1 päev kõik vga tore ja ilus ja teine päev mingid tülid..
neg	see on kõige hullem asi kui sul on mega fun olla ja kõik on tore ja siis lambist keset vanalinna tekib migreenihoog ja tunne et tahaks surra
neg	Kurvikas neiu on nii kaua tore olla, kuni suvel palava ilmaga reied omavahel hõõruma hakkavad :)))
neg	Tahaks magama minna, et homme ülikooli katseteks olla puhanud....aga eii, sest olen üks närvipundar.....nii küll tore ei ole
neu	Laulmine on tore, a ei paranda riigi probleeme.
neg	Tra hästi tehtud! :D
neg	Oli olla tore tööl 23,24,25 pühad mis sugused
neg	Tore küll suvel nohu ja kurguvaluga olla
pos	Tore et sulle meeldib "fuckboy" olla, aga sa võiksid teiste tunnetega ikka arvestada.
pos	Väga tore, et seadusloome on kiire. 
neu	inimestega koos olla on tore, aga ilma nendeta on veel toredam.
neg	MS võib omaarust olla tore firma, aga mine nende lehele EA või XBOS-le gold kontot tegema, on see kõik ikka täiesti eelmine sajand
pos	Nii tore on olla maailmakaardil! 
neg	Nii tore saan jälle jaaanide ajal tööl olla :)))
pos	väga tore ja sümpaatne on olla aasta vanem, kidz te ei tule mind sõimama
neu	IRL püüdleb selle poole, et olla vähemalt sama hea ja tore kui EKRE. 
pos	See on nii tore kui öeldakse, et minu ja mu sõprade seltskonnas on nii tore olla 
pos	tore on taas kodus olla
neg	ta võib vahepeal taitsa fun ja tore olla aga kui ta tujutsemine algab ega siis väga enam nii tore ei ole jah
pos	Küll on tore olla terve ja podcasti teha!
neg	tore on olla kakajunn
neg	Mdea tore on fuusika tunnis olla, kui midagi aru ei saa
neg	Nii tore on haiglas istuda ja kurb olla. :(
neg	Tore on enne beebsu tähtsat päeva 38.6 palavikus olla
neg	hästi "tore" on olla
neg	nii tore on purjus olla
pos	Uskumatu kui tore on kaine olla kui kõik teised purjus on, suutsin beerbongi võistlustel juua ainult jäävett
neg	Putsi kui ma kirjutan sulle ja olen tore, siis ürita ka palun olla tore, eksole?
neu	Tarmo Urb vihtus menusarja "Tuvikesed" staariga tantsu: me seal musutame, pigistame kanni, jube tore olla, aga pub… 

